T,cd,cc,0.05154639175257732
T,nn-tl,vbd,0.04411764705882353
T,rb,hv*,0.0015503875968992248
T,hv,nns,0.03225806451612903
T,pps,vb,0.0020920502092050207
T,np,np$,0.02356902356902357
T,--,rb,0.06666666666666667
T,rb,cc,0.034108527131782945
T,rb,cd,0.012403100775193798
T,:,nn,0.06060606060606061
T,cc,rp,0.005385996409335727
T,rb,cs,0.021705426356589147
T,wdt,vbd,0.2413793103448276
T,cc,rb,0.07360861759425494
T,rb,hvd,0.006201550387596899
T,<s>,cd,0.005977796754910333
T,cs,pps+hvd,0.0044444444444444444
T,vbn,bedz,0.0036496350364963502
T,*,rb,0.08163265306122448
T,``,vb,0.08445945945945946
T,np,abn,0.0016835016835016834
T,bez,vb,0.038461538461538464
T,dt,jj-tl,0.007352941176470588
T,pps+bez,cd,0.07692307692307693
T,wrb+bez,pp$,1.0
T,cc,nn-tl,0.0017953321364452424
T,uh,--,0.06818181818181818
T,at,nns-tl,0.0007163323782234957
T,in-tl,at-tl,1.0
T,pn,ql,0.016666666666666666
T,--,'',0.022222222222222223
T,vbd,bedz,0.0010482180293501049
T,nns,in,0.22242990654205608
T,hvn,pn,0.5
T,bez,dt,0.038461538461538464
T,in,",",0.0007072135785007072
T,``,md,0.010135135135135136
T,wdt,vbz,0.017241379310344827
T,md,to,0.010309278350515464
T,fw-nn,",",0.2
T,fw-nn,.,0.4
T,``,wrb,0.033783783783783786
T,dod*,pps,0.04
T,bedz,*,0.014285714285714285
T,ap,pn,0.010526315789473684
T,",",ber,0.001076426264800861
T,at,ap,0.030802292263610316
T,vb,ppss,0.012371134020618556
T,np,'',0.04377104377104377
T,bedz,vbn,0.12380952380952381
T,ppo,bed,0.0035335689045936395
T,bedz,vbg,0.14285714285714285
T,dts,nns,0.5
T,uh,.,0.18181818181818182
T,",",uh,0.004305705059203444
T,pn,hvd,0.016666666666666666
T,wrb,dod*,0.011904761904761904
T,--,ppss,0.044444444444444446
T,np,bedz,0.030303030303030304
T,in,vbg-tl,0.0007072135785007072
T,beg,jj,0.42857142857142855
T,be,in,0.023809523809523808
T,at,od,0.007879656160458453
T,ql,vbn,0.058823529411764705
T,to,vb,0.8430232558139535
T,np$,rb,0.02
T,abl,at,1.0
T,wdt,ppss,0.13793103448275862
T,pn,md,0.016666666666666666
T,vbd,vbn,0.006289308176100629
T,vb,to,0.032989690721649485
T,dt,jj,0.07352941176470588
T,vbd,vbg,0.007337526205450734
T,wdt+bez,jj,0.2
T,vbd,vbd,0.0010482180293501049
T,vbg,rp,0.04310344827586207
T,jjt,in,0.07692307692307693
T,nn,ppss,0.0042775665399239545
T,do,wdt,0.06666666666666667
T,ppl,at,0.045454545454545456
T,ap,nns,0.22105263157894736
T,``,vb+at,0.0033783783783783786
T,``,ex+bez,0.006756756756756757
T,dod,ppss,0.04
T,nn,wps,0.0076045627376425855
T,<s>,rp,0.0025619128949615714
T,cc,md,0.0017953321364452424
T,bed,jj,0.19148936170212766
T,bedz,rb,0.07142857142857142
T,vbg,dti,0.005747126436781609
T,to,do,0.046511627906976744
T,nn,(,0.0009505703422053232
T,nn,),0.0028517110266159697
T,nn,*,0.0009505703422053232
T,nn,",",0.13925855513307986
T,nn,.,0.18963878326996197
T,bedz,rp,0.014285714285714285
T,vbg,jj,0.034482758620689655
T,nn,:,0.004752851711026616
T,pp$,beg,0.002551020408163265
T,*,nns,0.02040816326530612
T,``,np$,0.0033783783783783786
T,wdt+bez,dt,0.2
T,jj-tl,nn$-tl,0.2
T,``,nn,0.030405405405405407
T,rb,vbn,0.027906976744186046
T,cc,nn,0.05026929982046679
T,rb,vbg,0.02945736434108527
T,rb,vbd,0.06046511627906977
T,vb,--,0.004123711340206186
T,hvz,ben,0.2
